  ,COMMESSA,ORE
  ,"     25/001  ""KONE SPA""",43.83
  ,"          IMBA  "" IMBALLAGGIO""",7.18
  ,"          NEST  "" TAGLIO / NESTING""",0.38
  ,"          PIEG  "" PIEGATURA""",16.75
  ,"          PROD  "" PRODUZIONE""",2.62
  ,"          PROG  "" PROGETTAZIONE""",11.24
  ,"          SALD  "" SALDATURA""",5.66
  ,"     25/002  ""BIME ELEVATORI SRL""",21.96
  ,"          IMBA  "" IMBALLAGGIO""",10.47
  ,"          PIEG  "" PIEGATURA""",5.42
  ,"          PROG  "" PROGETTAZIONE""",5.07
  ,"          SALD  "" SALDATURA""",1.0
  ,"     25/003  ""PANSERI ASCENSORI SRL""",9.9
  ,"          IMBA  "" IMBALLAGGIO""",3.11
  ,"          PIEG  "" PIEGATURA""",4.23
  ,"          PROG  "" PROGETTAZIONE""",2.08
  ,"          SALD  "" SALDATURA""",0.48
  ,"     25/004  ""FEREGOTTO ELEVATORI SRL""",10.72
  ,"          IMBA  "" IMBALLAGGIO""",0.48
  ,"          PIEG  "" PIEGATURA""",3.72
  ,"          PROD  "" PRODUZIONE""",0.0
  ,"          PROG  "" PROGETTAZIONE""",5.97
  ,"          SALD  "" SALDATURA""",0.55
  ,"     25/005  ""BIME ELEVATORI SRL""",45.68
  ,"          IMBA  "" IMBALLAGGIO""",7.14
  ,"          NEST  "" TAGLIO / NESTING""",2.27
  ,"          PIEG  "" PIEGATURA""",14.24
  ,"          PROD  "" PRODUZIONE""",1.07
  ,"          PROG  "" PROGETTAZIONE""",17.34
  ,"          SALD  "" SALDATURA""",3.62
  ,"     25/006  ""SCHINDLER SPA""",2.62
  ,"          IMBA  "" IMBALLAGGIO""",0.82
  ,"          NEST  "" TAGLIO / NESTING""",0.65
  ,"          PIEG  "" PIEGATURA""",0.1
  ,"          SALD  "" SALDATURA""",1.05
  ,"     25/007  ""SELE LIFT SRL""",83.86
  ,"          IMBA  "" IMBALLAGGIO""",19.36
  ,"          NEST  "" TAGLIO / NESTING""",11.86
  ,"          PIEG  "" PIEGATURA""",27.98
  ,"          PROG  "" PROGETTAZIONE""",17.86
  ,"          SALD  "" SALDATURA""",6.8
  ,"     25/008  ""ARE SRL""",30.86
  ,"          IMBA  "" IMBALLAGGIO""",8.89
  ,"          PIEG  "" PIEGATURA""",10.97
  ,"          PROD  "" PRODUZIONE""",0.38
  ,"          PROG  "" PROGETTAZIONE""",7.78
  ,"          SALD  "" SALDATURA""",2.84
  ,"     25/009  ""ARE SRL""",31.29
  ,"          IMBA  "" IMBALLAGGIO""",7.35
  ,"          PIEG  "" PIEGATURA""",12.41
  ,"          PROD  "" PRODUZIONE""",1.05
  ,"          PROG  "" PROGETTAZIONE""",9.0
  ,"          SALD  "" SALDATURA""",1.48
  ,"     25/010  ""ARE SRL""",41.05
  ,"          IMBA  "" IMBALLAGGIO""",11.78
  ,"          PIEG  "" PIEGATURA""",14.85
  ,"          PROD  "" PRODUZIONE""",3.47
  ,"          PROG  "" PROGETTAZIONE""",8.4
  ,"          SALD  "" SALDATURA""",2.55
  ,"     25/011  ""ARE SRL""",30.45
  ,"          IMBA  "" IMBALLAGGIO""",6.13
  ,"          PIEG  "" PIEGATURA""",11.56
  ,"          PROD  "" PRODUZIONE""",1.88
  ,"          PROG  "" PROGETTAZIONE""",9.25
  ,"          SALD  "" SALDATURA""",1.63
  ,"     25/012  ""ARE SRL""",39.79
  ,"          IMBA  "" IMBALLAGGIO""",12.6
  ,"          NEST  "" TAGLIO / NESTING""",0.61
  ,"          PIEG  "" PIEGATURA""",15.82
  ,"          PROG  "" PROGETTAZIONE""",6.92
  ,"          SALD  "" SALDATURA""",3.84
  ,"     25/013  ""ARE SRL""",30.82
  ,"          IMBA  "" IMBALLAGGIO""",7.38
  ,"          PIEG  "" PIEGATURA""",7.44
  ,"          PROG  "" PROGETTAZIONE""",15.45
  ,"          SALD  "" SALDATURA""",0.55
  ,"     25/014  ""ARE SRL""",41.93
  ,"          IMBA  "" IMBALLAGGIO""",9.11
  ,"          PIEG  "" PIEGATURA""",12.14
  ,"          PROD  "" PRODUZIONE""",0.58
  ,"          PROG  "" PROGETTAZIONE""",17.1
  ,"          SALD  "" SALDATURA""",3.0
  ,"     25/015  ""ARE SRL""",28.34
  ,"          IMBA  "" IMBALLAGGIO""",7.36
  ,"          PIEG  "" PIEGATURA""",11.66
  ,"          PROD  "" PRODUZIONE""",0.58
  ,"          PROG  "" PROGETTAZIONE""",6.21
  ,"          SALD  "" SALDATURA""",2.53
  ,"     25/016  ""LGM ELEVATOR SRL""",61.74
  ,"          IMBA  "" IMBALLAGGIO""",8.28
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",19.26
  ,"          PROG  "" PROGETTAZIONE""",26.69
  ,"          SALD  "" SALDATURA""",6.51
  ,"     25/017  ""ALPEMAC SRL""",56.99
  ,"          IMBA  "" IMBALLAGGIO""",12.33
  ,"          NEST  "" TAGLIO / NESTING""",3.63
  ,"          PIEG  "" PIEGATURA""",12.79
  ,"          PROG  "" PROGETTAZIONE""",16.07
  ,"          SALD  "" SALDATURA""",12.17
  ,"     25/018  ""ARE SRL""",36.57
  ,"          IMBA  "" IMBALLAGGIO""",10.29
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",9.43
  ,"          PROG  "" PROGETTAZIONE""",6.5
  ,"          SALD  "" SALDATURA""",9.35
  ,"     25/019  ""ARE SRL""",11.33
  ,"          IMBA  "" IMBALLAGGIO""",1.63
  ,"          PIEG  "" PIEGATURA""",2.76
  ,"          PROD  "" PRODUZIONE""",0.77
  ,"          PROG  "" PROGETTAZIONE""",6.17
  ,"     25/020  ""ARE SRL""",26.89
  ,"          IMBA  "" IMBALLAGGIO""",9.18
  ,"          PIEG  "" PIEGATURA""",9.96
  ,"          PROD  "" PRODUZIONE""",0.4
  ,"          PROG  "" PROGETTAZIONE""",7.35
  ,"     25/021  ""ARE SRL""",32.79
  ,"          IMBA  "" IMBALLAGGIO""",8.95
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",11.03
  ,"          PROD  "" PRODUZIONE""",1.4
  ,"          PROG  "" PROGETTAZIONE""",5.3
  ,"          SALD  "" SALDATURA""",5.11
  ,"     25/022  ""ARE SRL""",52.9
  ,"          IMBA  "" IMBALLAGGIO""",10.55
  ,"          PIEG  "" PIEGATURA""",13.31
  ,"          PROD  "" PRODUZIONE""",0.58
  ,"          PROG  "" PROGETTAZIONE""",18.74
  ,"          SALD  "" SALDATURA""",9.72
  ,"     25/023  ""ARE SRL""",29.17
  ,"          IMBA  "" IMBALLAGGIO""",9.31
  ,"          NEST  "" TAGLIO / NESTING""",0.58
  ,"          PIEG  "" PIEGATURA""",6.75
  ,"          PROD  "" PRODUZIONE""",0.58
  ,"          PROG  "" PROGETTAZIONE""",11.95
  ,"     25/024  ""BULGHERINI PU""",58.74
  ,"          IMBA  "" IMBALLAGGIO""",12.37
  ,"          NEST  "" TAGLIO / NESTING""",8.56
  ,"          PIEG  "" PIEGATURA""",18.81
  ,"          PROG  "" PROGETTAZIONE""",14.15
  ,"          SALD  "" SALDATURA""",4.85
  ,"     25/025  ""BIME ELEVATORI SRL""",33.88
  ,"          IMBA  "" IMBALLAGGIO""",9.74
  ,"          NEST  "" TAGLIO / NESTING""",1.17
  ,"          PIEG  "" PIEGATURA""",7.26
  ,"          PROG  "" PROGETTAZIONE""",13.74
  ,"          SALD  "" SALDATURA""",1.97
  ,"     25/026  ""SCHINDLER SPA""",55.31
  ,"          IMBA  "" IMBALLAGGIO""",8.54
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",29.53
  ,"          PROD  "" PRODUZIONE""",1.25
  ,"          PROG  "" PROGETTAZIONE""",7.07
  ,"          SALD  "" SALDATURA""",7.92
  ,"     25/027  ""BIME ELEVATORI SRL""",46.88
  ,"          IMBA  "" IMBALLAGGIO""",11.99
  ,"          NEST  "" TAGLIO / NESTING""",2.0
  ,"          PIEG  "" PIEGATURA""",14.76
  ,"          PROG  "" PROGETTAZIONE""",13.41
  ,"          SALD  "" SALDATURA""",4.72
  ,"     25/028  ""ARE SRL""",65.69
  ,"          IMBA  "" IMBALLAGGIO""",13.37
